occ70,duncan,seigel,treiman
436,22.8,31.5,30.8
440,17.3,31.4,33.7
441,49.2,45.4,39.3
442,23.0,35.5,35.0
443,17.8,29.1,29.4
444,39.5,35.2,35.3
445,25.2,26.7,27.5
446,21.7,35.3,38.6
450,22.4,31.0,31.3
452,41.3,31.3,34.9
453,36.4,37.5,46.5
454,33.5,46.4,40.1
455,57.8,50.8,43.0
456,45.0,36.2,33.1
461,32.9,47.8,43.3
462,41.0,40.8,36.6
470,27.0,36.7,29.8
471,48.0,48.2,49.6
472,19.0,36.7,44.4
473,19.0,36.7,44.4
474,25.0,40.8,36.6
475,27.0,40.8,36.6
480,27.0,32.6,29.8
481,26.6,32.8,30.6
482,27.0,32.6,29.8
483,10.0,30.4,30.4
484,35.9,33.8,29.9
485,36.0,35.0,42.0
486,20.5,35.6,30.8
491,34.0,40.8,36.6
492,26.5,32.8,30.2
495,27.0,32.6,29.8
501,19.0,25.2,32.9
502,31.0,40.3,40.0
503,12.0,39.1,38.1
504,33.0,40.8,36.6
505,43.0,33.9,33.9
506,39.0,51.4,41.2
510,16.4,29.9,33.7
511,29.0,40.8,36.6
512,13.7,27.7,30.1
514,43.0,38.8,38.8
515,63.0,40.1,46.1
516,38.0,32.0,33.4
520,25.0,33.2,30.9
521,29.0,40.8,36.6
522,34.0,40.6,37.6
523,33.0,40.8,36.6
525,50.0,38.8,42.5
530,46.3,39.3,39.8
531,40.0,40.8,36.6
533,22.0,36.0,36.0
534,15.1,31.5,31.4
535,33.0,36.8,33.8
536,33.0,40.8,36.6
540,34.0,35.5,43.6
542,12.0,32.6,28.0
543,16.9,30.7,33.8
545,45.2,34.9,33.9
546,24.0,31.7,37.9
550,33.7,35.6,44.0
551,22.0,34.0,36.7
552,48.8,39.1,35.4
554,49.0,39.2,35.5
560,28.2,38.4,34.3
561,49.2,42.3,39.9
562,41.0,40.8,36.6
563,20.9,29.9,30.6
571,34.5,40.8,36.6
572,39.0,40.8,36.6
575,25.7,42.1,32.5
580,99.0,,
601,32.0,28.4,28.4
602,17.2,27.5,38.4
603,11.0,32.1,36.8
604,18.4,23.3,34.7
605,25.0,39.4,45.5
610,19.1,36.1,42.7
611,17.7,20.3,27.5
612,18.7,28.8,33.6
613,23.0,31.7,26.3
614,21.6,26.2,33.6
615,24.5,36.4,33.4
620,12.0,25.0,25.1
621,20.2,23.1,29.4
622,18.1,32.9,45.1
623,17.9,21.2,33.4
624,17.0,32.9,34.9
625,12.2,23.6,35.6
626,29.0,32.9,38.1
630,15.0,16.8,22.1
631,28.8,32.0,31.5
633,16.4,31.6,31.8
634,18.0,19.4,22.3
635,19.8,30.1,37.4
636,46.0,33.4,32.3
640,16.4,26.4,36.8
641,17.6,27.5,33.0
642,15.0,24.2,34.9
643,18.0,19.5,22.5
644,18.1,29.0,29.2
645,42.1,35.9,35.9
650,24.9,31.7,35.5
651,21.9,19.0,27.3
652,21.5,31.8,35.5
653,21.0,31.1,34.6
656,19.4,30.4,37.8
660,20.1,31.7,34.8
661,16.0,33.7,29.0
662,04.9,27.6,29.4
663,18.2,25.2,28.3
664,09.2,31.6,26.0
665,23.8,34.9,39.5
666,16.6,31.7,33.8
670,03.1,28.9,29.6
671,21.0,29.4,29.4
672,04.4,28.2,30.3
673,05.9,25.0,30.4
674,06.1,28.8,29.6
680,24.0,40.1,39.2
681,19.6,32.1,35.2
690,19.0,28.7,33.4
692,18.8,29.3,34.1
694,19.2,29.2,33.7
695,19.1,29.2,33.1
701,24.0,36.8,23.3
703,34.0,32.4,32.4
704,32.5,28.0,28.8
705,31.0,28.2,24.6
706,16.5,28.6,33.6
710,03.0,27.2,27.2
711,18.8,21.5,34.8
712,42.0,34.7,28.8
713,44.0,32.8,28.8
714,10.0,21.5,27.8
715,15.1,32.1,32.6
740,16.8,28.7,28.6
750,07.2,23.0,22.8
751,07.4,17.4,18.2
752,10.6,30.3,32.5
753,08.7,18.9,20.3
754,08.0,17.3,18.1
755,10.9,22.1,21.4
760,11.0,24.4,21.2
761,04.1,25.9,19.1
762,16.7,20.6,21.4
763,08.0,12.2,22.3
764,07.6,17.5,19.3
770,08.3,20.3,20.6
780,07.6,19.1,19.9
785,07.9,17.5,18.3
801,14.0,40.7,47.1
802,36.0,43.7,54.3
821,20.0,35.0,40.8
822,06.3,18.9,22.6
823,17.0,18.4,33.5
824,22.0,26.8,22.2
901,13.4,16.6,23.2
902,07.8,18.4,25.2
903,12.7,19.5,26.0
910,19.0,19.9,23.2
911,11.0,14.4,30.7
912,15.0,26.7,30.9
913,11.0,21.8,22.5
914,17.0,15.0,16.4
915,16.0,20.3,23.2
916,11.0,20.9,23.5
921,38.0,47.8,41.6
922,25.0,26.3,33.7
923,51.0,45.1,44.2
924,37.0,23.3,46.5
925,13.7,36.8,41.8
926,22.0,41.9,44.0
931,31.0,,
932,19.1,15.6,20.6
933,26.3,21.7,33.5
934,07.8,17.5,28.7
935,17.0,37.9,30.4
940,30.0,22.1,28.2
941,08.0,09.3,12.2
942,28.2,24.0,32.7
943,10.0,20.9,24.3
944,17.0,33.2,40.1
945,31.0,40.8,36.6
950,31.0,36.4,37.2
952,26.0,14.1,29.1
953,25.0,14.9,24.6
954,11.0,,
960,17.9,25.3,33.2
961,37.0,43.8,35.3
962,18.3,22.2,24.7
963,21.0,45.8,34.7
964,40.5,47.7,38.4
965,34.0,55.0,47.4
980,07.0,22.6,22.7
981,07.0,18.0,21.6
982,10.7,20.2,23.7
983,12.0,17.6,20.2
984,07.0,18.0,21.6
